Dih1a,Dih1b,Dih2a,Dih2b,Dih3a,Dih3b,Dih4a,Dih4b
-88.012,64.6941,-67.0638,-165.4729,-62.0589,-61.0258,148.5926,-61.276,
-88.4528,64.7268,-66.5039,-165.5061,-62.092,-61.0469,77.6113,64.545,
-88.4656,64.6876,-66.1866,-165.613,-62.1581,-61.0859,80.3924,-171.2807,
-87.7591,65.1694,-66.5193,-165.3758,-87.6277,64.8287,-65.1207,-54.7035,
-88.2353,64.7977,-67.1395,-165.2461,-87.275,64.7895,-87.2377,67.6884,
-87.7417,64.8135,-66.6996,-165.3628,-87.7418,64.8135,-66.6996,-165.3628,
-87.924,64.7092,-67.2071,-165.5771,-87.7712,64.8616,148.8453,-61.2987,
-88.1155,64.7543,-66.6333,-165.4624,-88.3232,64.7779,77.8497,64.5686,
-88.4078,64.6955,-66.3164,-165.539,-87.9942,64.8143,80.2489,-171.1208,
-87.7383,65.0913,-66.3549,-165.3633,-64.8597,-171.5962,-65.2473,-54.7928,
